par_pctile,kid_race,gender,n_kir,kir
71,Asian,M,2800,64.029999
71,Hispanic,F,8000,49.860001
71,Hispanic,M,7900,57.260002
71,AIAN,F,550,45.439999
71,AIAN,M,600,51.920002
72,White,F,81500,50.209999
72,White,M,86000,61.860001
72,Black,F,6700,50.900002
72,Black,M,6600,49.610001
72,Asian,F,2900,60.41
72,Asian,M,2900,64.200005
72,Hispanic,F,7900,49.959999
72,Hispanic,M,7700,58.299999
72,AIAN,F,550,45.860001
72,AIAN,M,550,51.510002
73,White,F,81500,50.440002
73,White,M,86500,62.080002
73,Black,F,6700,51.300003
73,Black,M,6500,49.959999
73,Asian,F,2800,61.119999
73,Asian,M,2900,64.440002
73,Hispanic,F,7600,50.559998
73,Hispanic,M,7600,58.639996
73,AIAN,F,500,44.68
73,AIAN,M,550,51.400002
74,White,F,82500,50.779999
74,White,M,86000,62.220001
74,Black,F,6500,52
74,Black,M,6500,50.480003
74,Asian,F,2800,61.330002
74,Asian,M,2800,64.520004
74,Hispanic,F,7600,50.290001
74,Hispanic,M,7300,58.490002
74,AIAN,F,500,46.139999
74,AIAN,M,500,53.259998
75,White,F,82500,50.93
75,White,M,86500,62.650002
75,Black,F,6400,51.969997
75,Black,M,6400,50.610001
75,Asian,F,2900,61.540001
75,Asian,M,3000,65.130005
75,Hispanic,F,7300,51.059998
75,Hispanic,M,7300,59.259998
75,AIAN,F,500,45.779999
75,AIAN,M,600,50.849998
76,White,F,82500,51.27
76,White,M,87000,62.840004
76,Black,F,6300,51.93
76,Black,M,6200,50.940002
76,Asian,F,3000,61.889999
76,Asian,M,3000,64.290001
76,Hispanic,F,7000,50.730003
76,Hispanic,M,7000,58.48
76,AIAN,F,500,45.110001
76,AIAN,M,500,52.59
77,White,F,83000,51.490002
77,White,M,87500,63.129997
77,Black,F,6100,52.329998
77,Black,M,6200,50.610001
77,Asian,F,2900,63.139999
77,Asian,M,3000,65.919998
77,Hispanic,F,7000,52.029999
77,Hispanic,M,6900,59.030003
77,AIAN,F,500,46.549999
77,AIAN,M,500,55.870003
